,funding_total_usd,funding_rounds,time_between_first_last_funding,days_in_business,country_code_Other,country_code_USA,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
4327,-0.125,0.0,0.0,-0.44590495449949447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4328,-0.18770833333333334,0.0,0.0,-0.5581395348837209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4329,-0.13020833333333334,0.0,0.0,0.923154701718908,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4330,0.11042708333333333,0.0,0.0,-0.7553083923154702,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4331,6.041666666666667,6.0,1.9841549295774648,0.49342770475227504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4332,-0.19930458333333334,1.0,0.0,-0.38473205257836196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4333,0.6296875,1.0,2.625,-0.0025278058645096056,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4334,2.34375,1.0,0.43309859154929575,2.4004044489383216,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4335,1.0634646875,5.0,2.0193661971830985,0.43124368048533873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4336,2.5833333333333335,1.0,0.4647887323943662,-0.3993933265925177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,1.8123771875,2.0,2.426056338028169,2.0313447927199193,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4338,0.0,0.0,0.0,0.6622851365015167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4339,-0.041666666666666664,0.0,0.0,2.2623862487360973,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4340,-0.16297916666666667,0.0,0.0,1.4772497472194135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4341,0.8333333333333334,0.0,0.0,0.4499494438827098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4342,-0.13645833333333332,1.0,0.6267605633802817,0.29271991911021233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4343,0.15625,0.0,0.0,-0.5535894843276037,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4344,-0.14166666666666666,2.0,0.43133802816901406,-0.69211324570273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4345,0.75,0.0,0.0,0.4196157735085945,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4346,1.4940934375,3.0,2.265845070422535,0.1845298281092012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4347,2.9166666666666665,0.0,0.0,1.7047522750252782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4348,1.6129234375,2.0,1.0035211267605635,1.2927199191102123,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4349,2.4479166666666665,2.0,3.188380281690141,-0.5232558139534884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4350,3.0804879166666668,3.0,1.653169014084507,0.3695652173913043,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4351,-0.1919378125,1.0,1.1778169014084507,-0.43023255813953487,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4352,-0.2015625,4.0,1.022887323943662,-0.3993933265925177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4353,-0.19375,0.0,0.0,-0.5540950455005056,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
