,funding_total_usd,country_code,funding_rounds,time_between_first_last_funding,days_in_business,status,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
2012,1750000,USA,2,480,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013,1700000,Other,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014,1200000,USA,2,162,1603,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,429032,USA,1,0,1351,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016,6000000,USA,1,0,2780,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1268469,USA,2,1435,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2525563,USA,5,1310,2126,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019,600000,USA,2,224,2142,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,22600000,USA,2,330,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,25000,USA,1,0,1757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1000000,Other,1,0,1428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,350000,USA,1,0,1444,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024,6500000,USA,1,0,1824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,1500000,Other,1,0,569,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026,90881020,USA,12,2093,3407,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2027,4000000,USA,1,0,3285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2028,750000,Other,1,0,1673,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2029,11600000,USA,4,1584,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2030,100,Other,1,0,728,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,250000,USA,1,0,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,55750000,USA,4,1078,2357,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2033,3265646,Other,1,0,1968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,1500000,Other,1,0,1093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2035,206500000,USA,6,2394,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2036,7267800,Other,1,0,5224,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2037,9400000,Other,2,369,1093,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,149570,Other,2,218,763,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2039,550000,USA,2,1218,2416,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,20000,Other,1,0,1185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,2916745,USA,2,554,1430,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2042,20000000,Other,1,0,5842,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2043,28000000,USA,5,1272,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2044,120000,USA,3,341,1276,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,40000,USA,1,0,827,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,65000,USA,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,17850000,USA,5,1806,2464,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,4100000,USA,1,0,3925,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2049,9900000,USA,3,302,1977,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2050,30000000,USA,2,443,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,2200000,Other,3,389,1643,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2052,15000,Other,1,0,2707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,3180000,Other,1,0,5111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2054,15000,Other,1,0,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2055,13500000,Other,1,0,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,3500000,USA,2,604,1765,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2057,1800000,Other,1,0,1704,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,44250000,USA,8,1992,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,47499994,USA,2,2051,6207,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2060,6000000,Other,1,0,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,318627,Other,1,0,1612,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,200000,USA,1,0,485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,1200000,USA,1,0,1551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,5600000,USA,3,639,2920,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2065,500000,Other,2,60,1520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,200000,USA,1,0,1277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,76700000,USA,4,1463,3399,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2068,1286600,Other,1,0,728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,54228882,USA,10,2879,5476,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2070,500000,USA,1,0,1093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,715000,USA,3,611,3134,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2072,19900,Other,2,215,612,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,10000000,Other,1,0,5476,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2074,1100000,Other,1,0,1765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,401500,Other,3,343,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2076,1450000,USA,3,1543,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2077,81556000,USA,7,3251,3073,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2078,10450000,USA,3,1019,1885,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,800441,Other,1,0,2373,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2080,150000,USA,1,0,3226,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,947032,Other,1,0,906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2082,1600000,Other,1,0,2646,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,7540000,Other,2,133,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,1000000,Other,2,550,1643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,1000000,Other,1,0,2311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2086,596000,Other,1,0,3457,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2087,18000,USA,1,0,3471,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2088,10000000,USA,1,0,5476,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2089,8250080,USA,2,10,2920,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,250000,USA,1,0,1209,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,1240000,USA,3,221,942,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,200000,USA,1,0,3348,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2093,25838556,USA,8,1396,1856,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,78050000,USA,5,3306,2554,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,33000000,USA,3,1357,5111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,4000000,Other,1,0,3650,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,10750000,USA,2,1917,3919,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,370356,Other,2,212,4807,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2099,45319939,USA,3,1990,6937,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,154000000,USA,2,2485,6207,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2101,72999993,USA,3,561,3650,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102,49770145,USA,5,1837,3285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2103,4520763,USA,2,1103,2920,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,5933707,Other,1,0,1657,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2105,482000,Other,2,456,5111,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2106,5935201,USA,2,567,4746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2107,6000000,Other,2,679,2707,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2108,20000000,Other,1,0,1246,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2109,2460000,Other,1,0,3864,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2110,4000000,USA,1,0,6572,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2111,2500000,Other,1,0,540,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2112,63000,Other,1,0,1277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2113,4807850,Other,2,532,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2114,4000000,USA,2,603,1399,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2115,100000,USA,1,0,1185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2116,125000,USA,1,0,1047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2117,98000,USA,2,37,1185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118,90000,USA,1,0,912,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2119,1000000,Other,1,0,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2120,3000000,USA,2,446,1368,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2121,8100000,USA,2,572,3555,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2122,55799998,USA,5,2311,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2123,310500000,USA,7,2461,3042,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2124,11700000,USA,3,1328,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2125,20000,Other,1,0,1459,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,265509,Other,1,0,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2127,800000,USA,1,0,2554,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2128,360000,Other,2,0,1548,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2129,2569000,USA,2,427,2434,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2130,8700000,USA,3,1131,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,1800000,Other,2,573,2189,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2132,55000,USA,1,0,1459,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2133,1000000,USA,3,730,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2134,700000,USA,1,0,1946,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135,800000,USA,1,0,3051,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,31000000,USA,3,1472,3285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2137,150000,Other,1,0,1824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2138,27500000,USA,3,1506,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,11000000,USA,1,0,1846,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2140,750000,Other,1,0,4381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2141,54950000,USA,8,2764,5081,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2142,2400000,Other,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2143,40000,USA,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,690000,Other,2,61,1723,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2145,200000,Other,1,0,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2146,500000,USA,1,0,2060,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,3455250,Other,3,1142,2080,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2148,40000,USA,1,0,2069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2149,7000000,USA,2,655,3650,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2150,500000,Other,1,0,982,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2151,5000000,Other,1,0,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2152,3000000,Other,2,349,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,118000,USA,1,0,1459,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2154,70978783,USA,2,470,7059,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2155,4600000,Other,3,481,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2156,7100000,USA,3,794,1734,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2157,4366668,USA,3,439,1069,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2158,250000,Other,2,203,1643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,783603,Other,2,514,1983,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2160,515000,Other,1,0,1307,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2161,28000,USA,1,0,903,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2162,30000,USA,1,0,1813,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2163,13304915,USA,4,1394,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2164,1155000,USA,2,365,2046,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2165,200000,Other,1,0,1824,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2166,10671168,USA,5,2106,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2167,6515000,USA,4,811,1756,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,30240000,USA,3,1094,5476,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,200000,USA,2,208,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,6250000,USA,1,0,1673,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,618000,USA,2,144,1371,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2172,282355,USA,2,1402,1154,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,185000,Other,3,582,1654,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,2100000,USA,3,235,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2175,136000000,USA,7,2420,2981,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2176,1350000,USA,3,386,1185,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2177,1767000,USA,8,676,1515,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2178,23660962,USA,2,602,5111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179,1000,Other,1,0,697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,261000,Other,1,0,1339,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2181,6250000,USA,2,422,1368,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2182,2500000,USA,1,0,1459,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2183,2000000,USA,1,0,5476,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,54596,Other,2,770,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,3735292,Other,1,0,1824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,1400000,Other,1,0,1277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2187,225000,USA,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2188,2725000,USA,3,668,1824,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2189,500000,Other,1,0,1093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2190,10000,USA,1,0,1080,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,3000000,USA,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,30000000,USA,1,0,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2193,54673231,USA,7,2397,4746,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,15000000,USA,1,0,2633,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,700000,USA,1,0,2920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2196,76433,Other,1,0,2108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,14500000,USA,1,0,6572,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2198,26721134,USA,5,3062,4746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2199,22000000,USA,2,977,3499,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2200,20159162,USA,2,1071,6207,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2201,20000,USA,1,0,1062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,1875000,USA,1,0,836,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,125000,USA,1,0,1093,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,70500000,Other,1,0,2296,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2205,14800000,USA,3,1018,2069,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2206,667139,USA,2,667,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2207,1200000,Other,1,0,1883,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2208,32000000,USA,1,0,2647,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,2488042,Other,1,0,1093,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210,40000,Other,1,0,1704,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,170466,USA,1,0,1580,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,13292327,USA,2,137,3285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2213,5000000,USA,1,0,3639,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2214,36300000,USA,3,1083,4746,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,120000,USA,2,33,1003,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2216,1200000,USA,2,230,1610,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2217,1000000,USA,2,485,1814,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2218,2375000,USA,2,118,1459,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2219,37000000,USA,1,0,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2220,4600000,USA,2,625,3134,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2221,40000000,USA,2,667,5111,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2222,359742,USA,1,0,6207,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2223,389974,Other,1,0,789,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,14000000,Other,1,0,6207,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2225,15612936,USA,1,0,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2226,3180659,Other,1,0,2158,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2227,100000,USA,1,0,2078,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2228,40000,USA,1,0,1673,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2229,3000000,Other,1,0,716,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2230,785000,USA,1,0,2554,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2231,8899100,Other,1,0,1951,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,735000,USA,1,0,1840,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2233,10000000,USA,1,0,639,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,150000,USA,1,0,2470,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,1770000,Other,1,0,3647,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2236,10000000,USA,1,0,1765,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2237,28306478,Other,2,310,1862,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2238,4270000,Other,1,0,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2239,3739263,USA,3,772,3650,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2240,153624633,USA,7,3093,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241,16192468,Other,3,1693,5842,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,6760000,Other,1,0,3189,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2243,327260,USA,1,0,1093,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2244,8180000,Other,3,2765,6572,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2245,329982,USA,1,0,1095,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2246,200000,USA,1,0,4015,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247,20000000,USA,1,0,4381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,90600000,USA,3,1324,3650,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2249,1722500,USA,4,725,1185,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,59619365,Other,6,1084,4381,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2251,150910788,USA,5,2299,2920,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2252,8000000,USA,1,0,1428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2253,8100000,Other,2,1592,3650,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2254,145000,Other,1,0,4838,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2255,165000,USA,1,0,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,616666,USA,1,0,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2257,4108777,USA,1,0,2010,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2258,55000000,Other,1,0,7668,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2259,2500000,USA,1,0,3681,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2260,122000000,USA,4,1226,2554,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2261,25000000,USA,1,0,4015,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2262,16190000,Other,2,105,6207,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2263,500000,Other,1,0,1109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,18612382,Other,5,3753,5759,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2265,76750000,USA,4,1021,2189,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2266,20000000,Other,2,1237,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,39868500,USA,4,1840,5811,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2268,34800000,USA,1,0,3650,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,2648258,USA,3,1973,2956,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2270,8300000,USA,2,209,1824,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2271,150000,USA,1,0,1824,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2272,641953,Other,6,1129,2189,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2273,3000000,USA,2,295,3354,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2274,7200442,USA,6,1581,2259,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,101000000,USA,5,3249,5111,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,200000,Other,1,0,2951,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,500000,USA,1,0,485,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,90000000,USA,1,0,3169,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2279,500000,USA,1,0,1824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,540000,USA,4,460,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2281,390000,USA,3,151,1824,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2282,28000,USA,1,0,1352,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2283,135000,USA,2,234,2189,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
