,funding_total_usd,country_code,funding_rounds,time_between_first_last_funding,days_in_business,status,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
61,1660000,Other,1,0,5568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,150000,USA,1,0,5721,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,41000000,USA,5,1079,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,29750000,Other,1,0,3407,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1236454,Other,3,563,1459,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,2800000,USA,2,304,3042,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1464128,Other,1,0,4381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,6369507,Other,1,0,1307,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,5050000,USA,1,0,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,2580000,Other,1,0,3558,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,325000000,USA,1,0,460,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72,100000000,Other,2,304,2266,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,15034750,USA,6,1360,6572,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,250000,Other,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,1610541,Other,2,153,3772,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,615000,Other,1,0,2523,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,111949900,USA,6,2646,3560,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,50000,Other,1,0,1673,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1209701,Other,2,122,2676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3452941,USA,3,422,1892,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,600000,USA,1,0,1150,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,400000,USA,1,0,3073,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,16000000,USA,1,0,2189,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,50000,USA,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,1856561,Other,2,199,733,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4000000,Other,1,0,5476,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,200000,USA,1,0,1459,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,25000,Other,1,0,2164,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,2000000,Other,1,0,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,118000,USA,1,0,1253,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,250000,Other,2,60,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,5844811,USA,1,0,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,3000000,Other,3,1249,4746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,7000000,Other,2,576,1357,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,6785876,Other,1,0,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,60000000,USA,1,0,532,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,383000,Other,2,923,2008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,2941000,USA,3,651,2458,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,165000000,Other,1,0,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,474116,Other,4,0,432,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,250000,USA,1,0,1490,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,275000,USA,1,0,2920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,966728,Other,2,459,1704,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104,85000000,USA,1,0,6527,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,37644420,USA,4,1043,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,58000,USA,1,0,1465,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,6000,USA,1,0,838,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,939000,USA,1,0,2981,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
109,300000,Other,2,305,4260,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,95875000,USA,6,1671,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,80000,Other,1,0,1435,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,78089000,USA,4,1442,3226,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,25000,USA,1,0,1003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,500000,USA,1,0,1071,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
